Emoji,Description
😀,Grinning face
😃,Grinning face with big eyes
😄,Grinning face with smiling eyes
😁,Beaming face with smiling eyes
😆,Grinning squinting face
😅,Grinning face with sweat
😂,Face with tears of joy
🤣,Rolling on the floor laughing
🥹,Face holding back tears
😊,Smiling face with smiling eyes
😇,Smiling face with halo
🙂,Slightly smiling face
🙃,Upside-down face
😉,Winking face
😌,Relieved face
😍,Smiling face with heart-eyes
🥰,Smiling face with hearts
😘,Face blowing a kiss
😗,Kissing face
😙,Kissing face with smiling eyes
😚,Kissing face with closed eyes
🥲,Smiling face with tear
😋,Face savoring food
😛,Face with tongue
😜,Winking face with tongue
😝,Squinting face with tongue
🤪,Zany face
🤨,Face with raised eyebrow
🧐,Face with monocle
🤓,Nerd Face - Smart and geeky
😎,Sunglasses - Cool and stylish
🤩,Star-struck
🥳,Partying face
😏,Smirking face
😒,Unamused face
😞,Disappointed face
😔,Pensive face
😟,Worried face
😕,Confused face
🙁,Slightly frowning face
😫,Tired face
😩,Weary face
🥺,Pleading face
😢,Crying face
😭,Loudly crying face
😮‍💨,Face exhaling
😤,Face with steam from nose
😠,Angry face
😡,Pouting face
🤬,Face with symbols on mouth
😈,Devil - Mischievous and playful
👿,Imp
💀,Skull - Dark and edgy
👻,Ghost - Spooky and mysterious
👽,Alien
🤖,Robot - AI and technology
🤡,Clown face
👹,Ogre
👺,Goblin
😼,Cat with wry smile
😽,Kissing cat
😿,Crying cat
😹,Cat with tears of joy
😾,Pouting cat
😺,Grinning cat
😸,Grinning cat with smiling eyes
👋,Waving hand
🤚,Raised back of hand
🖐️,Hand with fingers splayed
✋,Raised hand
🖖,Vulcan salute
👌,Ok hand
🤏,Pinching hand
✌️,Peace Sign - Peace and victory
🤞,Crossed fingers
🤟,Love-you gesture
🤘,Rock On - Metal and rock music
🤙,Call me hand
👈,Backhand index pointing left
👉,Backhand index pointing right
👆,Backhand index pointing up
👇,Backhand index pointing down
☝️,Index pointing up
👍,Thumbs Up - Approval and positivity
👎,Thumbs Down - Disapproval
✊,Raised fist
👊,Fist - Power and strength
🤛,Left-facing fist
🤜,Right-facing fist
👏,Clapping hands
🙌,Raising hands
👐,Open hands
🤲,Palms up together
🤝,Handshake
🙏,Folded hands
✍️,Writing hand
💅,Nail polish
👂,Ear
👃,Nose
👀,Eyes
🧠,Brain - Intelligence and thinking
🦷,Tooth
👅,Tongue
💋,Kiss mark
👶,Baby
👧,Girl
👦,Boy
👩,Woman
🧑,Person
👨,Man
👵,Old woman
👴,Old man
👸,Princess
🤴,Prince
👰,Bride with veil
🤵,Man in tuxedo
🤰,Pregnant woman
🤱,Breast-feeding
👼,Baby angel
🎅,Santa claus
🦸,Superhero
🦹,Supervillain
🧙,Mage
🧚,Fairy
🧛,Vampire
🧜,Mermaid
🧝,Elf
🧞,Genie
🧟,Zombie
🚶,Person walking
🏃,Person running
💃,Woman dancing
🕺,Man dancing
🗣️,Speaking head
👤,Bust in silhouette
👥,Busts in silhouette
🐵,Monkey face
🐒,Monkey
🦍,Gorilla
🦧,Orangutan
🐶,Dog Face - Loyal and friendly
🐕,Dog
🐩,Poodle
🐺,Wolf
🦊,Fox
🦝,Raccoon
🐱,Cat Face - Cute and playful
🐈,Cat
🦁,Lion
🐅,Tiger
🐆,Leopard
🐴,Horse face
🐎,Horse
🦌,Deer
🐮,Cow face
🐂,Ox
🐃,Water buffalo
🐄,Cow
🐷,Pig face
🐖,Pig
🐗,Boar
🐏,Ram
🐑,Ewe
🐐,Goat
🐪,Dromedary camel
🐫,Bactrian camel
🦙,Llama
🦒,Giraffe
🐘,Elephant
🦣,Mammoth
🦏,Rhinoceros
🦛,Hippopotamus
🐭,Mouse face
🐁,Mouse
🐀,Rat
🐹,Hamster
🐰,Rabbit face
🐇,Rabbit
🐿️,Chipmunk
🦫,Beaver
🦔,Hedgehog
🦇,Bat
🐻,Bear
🐨,Koala
🐼,Panda Face - Adorable and rare
🦥,Sloth
🦦,Otter
🦨,Skunk
🦘,Kangaroo
🦡,Badger
🐾,Paw prints
🦃,Turkey
🐔,Chicken
🐓,Rooster
🐣,Hatching chick
🐤,Baby chick
🐥,Front-facing baby chick
🐦,Bird
🐧,Penguin
🕊️,Dove
🦅,Eagle
🦆,Duck
🦢,Swan
🦉,Owl
🦤,Dodo
🪶,Feather
🐸,Frog
🐊,Crocodile
🐢,Turtle
🐍,Snake
🦎,Lizard
🦖,T-rex
🦕,Sauropod
🐳,Spouting whale
🐋,Whale
🐬,Dolphin
🦭,Seal
🐟,Fish
🐠,Tropical fish
🐡,Blowfish
🦈,Shark
🐙,Octopus
🐚,Spiral shell
🐌,Snail
🦋,Butterfly
🐛,Bug
🐜,Ant
🐝,Honeybee
🪲,Beetle
🦗,Cricket
🕷️,Spider
🦂,Scorpion
🦟,Mosquito
🦠,Microbe
💐,Bouquet
🌸,Cherry blossom
💮,White flower
🌹,Rose
🥀,Wilted flower
🌺,Hibiscus
🌻,Sunflower - Bright and cheerful
🌷,Tulip
🌱,Seedling - Growth and new beginnings
🌲,Evergreen Tree - Nature and forest
🌳,Deciduous tree
🌴,Palm tree
🌵,Cactus
🌾,Sheaf of rice
🌿,Herb
🍀,Four leaf clover
🍁,Maple leaf
🍂,Fallen leaf
🍃,Leaf fluttering in wind
🍇,Grapes
🍈,Melon
🍉,Watermelon
🍊,Tangerine
🍋,Lemon
🍌,Banana
🍍,Pineapple
🥭,Mango
🍎,Red apple
🍏,Green apple
🍐,Pear
🍑,Peach
🍒,Cherries
🍓,Strawberry
🥝,Kiwi fruit
🍅,Tomato
🥥,Coconut
🥑,Avocado
🍆,Eggplant
🥔,Potato
🥕,Carrot
🌽,Ear of corn
🌶️,Hot pepper
🥒,Cucumber
🍄,Mushroom
🌰,Chestnut
🥜,Peanuts
🍯,Honey pot
🍞,Bread
🥐,Croissant
🥖,Baguette bread
🥨,Pretzel
🥞,Pancakes
🧇,Waffle
🧀,Cheese wedge
🥩,Cut of meat
🥓,Bacon
🍔,Hamburger - Fast food and casual
🍟,French Fries - Snacks and comfort food
🍕,Pizza - Food and fun
🌭,Hot dog
🌮,Taco
🌯,Burrito
🥙,Stuffed flatbread
🥗,Green salad
🥘,Shallow pan of food
🍝,Spaghetti
🍜,Steaming bowl
🥟,Dumpling
🍣,Sushi
🍤,Fried shrimp
🍚,Cooked rice
🍛,Curry rice
🍙,Rice ball
🍘,Rice cracker
🍠,Roasted sweet potato
🍢,Oden
🍡,Dango
🍧,Shaved ice
🍨,Ice cream
🍦,Soft ice cream
🥧,Pie
🍰,Shortcake - Sweet treats and celebration
🍮,Custard
🍬,Candy
🍭,Lollipop
🍫,Chocolate bar
🍩,Doughnut
🍪,Cookie
☕,Hot beverage
🍵,Teacup without handle
🥤,Cup with straw
🥛,Glass of milk
🍻,Clinking beer mugs
🥂,Clinking glasses
🥃,Tumbler glass
🍸,Cocktail glass
🍹,Tropical drink
🍾,Bottle with popping cork
🧊,Ice
🌎,Globe showing americas
